IDX,LABEL,SHORT Q,LONG Q,UNITS,SCALE,MINVAL,MAXVAL,REALIZATION,QUEST_TYPE,IDXMIN,IDXMAX,SUM50,PARENT,IMAGE
17,17,Shallow-submarine landslide inside the Sciara del Fuoco ,By considering the possible tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco within the next 50 years what percentage of them will be  a shallow-submarine landslide (center of mass between 300 m BSL and sea level)?,%,uni,0,100, ,target,16,19,100.0,-2,
18,18,Lower-subaerial landslide inside the Sciara del Fuoco ,By considering the possible tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco within the next 50 years what percentage of them will be  a lower-subaerial landslide (center of mass between sea level and 300 m ASL)?,%,uni,0,100, ,target,16,19,100.0,-2,
19,19,Upper-subaerial landslide inside the Sciara del Fuoco ,By considering the possible tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco within the next 50 years what percentage of them will be a lower-subaerial landslide (center of mass between 300 and 700 m ASL)?,%,uni,0,100, ,target,16,19,100.0,-2,
20,20,Deep submarine tsunamigenic landslides inside the Sciara del Fuoco with volume between 1x10⁶ m³ and 5x10⁶ m³,By considering the possible deep submarine tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between 700 and 300 m BSL) what percentage (%) of them will involve a volume between 1x10⁶ m³ and 5x10⁶ m³?,%,uni,0,100, ,target,20,23,100.0,16,FigureQuestB20.png
21,21,Deep submarine tsunamigenic landslides inside the Sciara del Fuoco with volume between 5x10⁶ m³ and 14x10⁶ m³,By considering the possible deep submarine tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between 700 and 300 m BSL) what percentage (%) of them will involve a volume between 5x10⁶ m³ and 14x10⁶ m³?,%,uni,0,100, ,target,20,23,100.0,16,
22,22,Deep submarine tsunamigenic landslides inside the Sciara del Fuoco with volume between 14x10⁶ m³ and 30x10⁶ m³,By considering the possible deep submarine tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between 700 and 300 m BSL) what percentage (%) of them will involve a volume between 14x10⁶ m³ and 30x10⁶ m³?,%,uni,0,100, ,target,20,23,100.0,16,
23,23,Deep submarine tsunamigenic landslides inside the Sciara del Fuoco with volume above 30x10⁶ m³,By considering the possible deep submarine tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between 700 and 300 m BSL) what percentage (%) of them will involve a volume above 30x10⁶ m³?,%,uni,0,100, ,target,20,23,100.0,16,
24,24,Shallow submarine tsunamigenic landslides inside the Sciara del Fuoco with volume between 1x10⁶ m³ and 5x10⁶ m³,By considering the possible shallow submarine tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between 300 m BSL and sea level) what percentage (%) of them will involve a volume between 1x10⁶ m³ and 5x10⁶ m³?,%,uni,0,100, ,target,24,27,100.0,17,FigureQuestB24.png
25,25,Shallow submarine tsunamigenic landslides inside the Sciara del Fuoco with volume between 5x10⁶ m³ and 14x10⁶ m³,By considering the possible shallow submarine tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between 300 m BSL and sea level) what percentage (%) of them will involve a volume between 5x10⁶ m³ and 14x10⁶ m³?,%,uni,0,100, ,target,24,27,100.0,17,
26,26,Shallow submarine tsunamigenic landslides inside the Sciara del Fuoco with volume between 14x10⁶ m³ and 30x10⁶ m³,By considering the possible shallow submarine tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between 300 m BSL and sea level) what percentage (%) of them will involve a volume between 14x10⁶ m³ and 30x10⁶ m³?,%,uni,0,100, ,target,24,27,100.0,17,
27,27,Shallow submarine tsunamigenic landslides inside the Sciara del Fuoco with volume above 30x10⁶ m³,By considering the possible shallow submarine tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between 300 m BSL and sea level) what percentage (%) of them will involve a volume above 30x10⁶ m³?,%,uni,0,100, ,target,24,27,100.0,17,
28,28,Lower subaerial tsunamigenic landslides inside the Sciara del Fuoco with volume between 1x10⁶ m³ and 5x10⁶ m³,By considering the possible lower subaerial tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between sea level and 300 m ASL) what percentage (%) of them will involve a volume between 1x10⁶ m³ and 5x10⁶ m³?,%,uni,0,100, ,target,28,31,100.0,18,FigureQuestB28.png
29,29,Lower subaerial tsunamigenic landslides inside the Sciara del Fuoco with volume between 5x10⁶ m³ and 14x10⁶ m³,By considering the possible lower subaerial tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between sea level and 300 m ASL) what percentage (%) of them will involve a volume between 5x10⁶ m³ and 14x10⁶ m³?,%,uni,0,100, ,target,28,31,100.0,18,
30,30,Lower subaerial tsunamigenic landslides inside the Sciara del Fuoco with volume between 14x10⁶ m³ and 30x10⁶ m³,By considering the possible lower subaerial tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between sea level and 300 m ASL) what percentage (%) of them will involve a volume between 14x10⁶ m³ and 30x10⁶ m³?,%,uni,0,100, ,target,28,31,100.0,18,
31,31,Lower subaerial tsunamigenic landslides inside the Sciara del Fuoco with volume above 30x10⁶ m³,By considering the possible lower subaerial tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between sea level and 300 m ASL) what percentage (%) of them will involve a volume above 30x10⁶ m³?,%,uni,0,100, ,target,28,31,100.0,18,
32,32,Upper subaerial tsunamigenic landslides inside the Sciara del Fuoco with volume between 1x10⁶ m³ and 5x10⁶ m³,By considering the possible upper subaerial tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between sea level and 300 m ASL) what percentage (%) of them will involve a volume between 1x10⁶ m³ and 5x10⁶ m³?,%,uni,0,100, ,target,32,35,100.0,19,FigureQuestB32.png
33,33,Upper subaerial tsunamigenic landslides inside the Sciara del Fuoco with volume between 5x10⁶ m³ and 14x10⁶ m³,By considering the possible upper subaerial tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between sea level and 300 m ASL) what percentage (%) of them will involve a volume between 1x10⁶ m³ and 5x10⁶ m³?,%,uni,0,100, ,target,32,35,100.0,19,
34,34,Upper subaerial tsunamigenic landslides inside the Sciara del Fuoco with volume between 14x10⁶ m³ and 30x10⁶ m³,By considering the possible upper subaerial tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between sea level and 300 m ASL) what percentage (%) of them will involve a volume between 1x10⁶ m³ and 5x10⁶ m³?,%,uni,0,100, ,target,32,35,100.0,19,
35,35,Upper subaerial tsunamigenic landslides inside the Sciara del Fuoco with volume above 30x10⁶ m³,By considering the possible upper subaerial tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between sea level and 300 m ASL) what percentage (%) of them will involve a volume above 30x10⁶ m³?,%,uni,0,100, ,target,32,35,100.0,19,
36,1,Tsunamigenic landslides from VIII century CE to 1878,"Considering the known/documented and possible under-recording of past tsunamigenic landslides with a volume greater than 1x10⁶ m³ occurred at Stromboli from VIII century CE to present, how many tsunamigenic landslides occurred from VIII century CE to 1878 (ca. 1200 years)?",number,uni,0,inf, ,target,0,0,0,-1,
37,2,Tsunamigenic landslides from 1879 to present,"Considering the known/documented and possible under-recording of past tsunamigenic landslides with a volume greater than 1x10⁶ m³ occurred at Stromboli from VIII century CE to present, how many tsunamigenic landslides occurred from 1879 to present (ca. 140 years)?",number,uni,0,inf, ,target,0,0,0,-1,
38,3,Tsunamigenic landslides in the next 50 years,"Given the responses to the previous questions and the current state of Stromboli volcano, what do you expect the number of tsunamigenic landslides with volume greater than 1x10⁶ m³ in the next 50 years?",number,uni,0,inf, ,target,0,0,0,-1,
39,12,Tsunamigenic landslides inside the Sciara del Fuoco associated with lava accumulation,"By considering the possible tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco within the next 50 years with a volcanic exogenous trigger, what percentage of them will be associated with lava accumulation?",%,uni,0,100, ,target,12,15,100.0,9,FigureQuest12.png
40,13,Tsunamigenic landslides inside the Sciara del Fuoco associated with tephra accumulation during ordinary activity,"By considering the possible tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco within the next 50 years with a volcanic exogenous trigger, what percentage of them will be associated with tephra accumulation during ordinary activity?",%,uni,0,100, ,target,12,15,100.0,9,
41,14,Tsunamigenic landslides inside the Sciara del Fuoco associated with tephra accumulation during a paroxysm,"By considering the possible tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco within the next 50 years with a volcanic exogenous trigger, what percentage of them will be associated with tephra accumulation during a paroxysm?",%,uni,0,100, ,target,12,15,100,9,
42,15,Tsunamigenic landslides inside the Sciara del Fuoco associated with primary Pyroclastic Density Currents,"By considering the possible tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco within the next 50 years with a volcanic exogenous trigger, what percentage of them will associated with primary Pyroclastic Density Currents?",%,uni,0,100, ,target,12,15,100,9,
43,16,Deep-submarine landslide inside the Sciara del Fuoco ,By considering the possible tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco within the next 50 years what percentage of them will be  a deep-submarine landslide (center of mass between 700 and 300 m BSL)?,%,uni,0,100, ,target,16,19,100.0,-2,FigureQuestB16.png
44,17,Shallow-submarine landslide inside the Sciara del Fuoco ,By considering the possible tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco within the next 50 years what percentage of them will be  a shallow-submarine landslide (center of mass between 300 m BSL and sea level)?,%,uni,0,100, ,target,16,19,100.0,-2,
45,18,Lower-subaerial landslide inside the Sciara del Fuoco ,By considering the possible tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco within the next 50 years what percentage of them will be  a lower-subaerial landslide (center of mass between sea level and 300 m ASL)?,%,uni,0,100, ,target,16,19,100.0,-2,
46,19,Upper-subaerial landslide inside the Sciara del Fuoco ,By considering the possible tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco within the next 50 years what percentage of them will be a lower-subaerial landslide (center of mass between 300 and 700 m ASL)?,%,uni,0,100, ,target,16,19,100.0,-2,
47,20,Deep submarine tsunamigenic landslides inside the Sciara del Fuoco with volume between 1x10⁶ m³ and 5x10⁶ m³,By considering the possible deep submarine tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between 700 and 300 m BSL) what percentage (%) of them will involve a volume between 1x10⁶ m³ and 5x10⁶ m³?,%,uni,0,100, ,target,20,23,100.0,16,FigureQuestB20.png
48,21,Deep submarine tsunamigenic landslides inside the Sciara del Fuoco with volume between 5x10⁶ m³ and 14x10⁶ m³,By considering the possible deep submarine tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between 700 and 300 m BSL) what percentage (%) of them will involve a volume between 5x10⁶ m³ and 14x10⁶ m³?,%,uni,0,100, ,target,20,23,100.0,16,
49,22,Deep submarine tsunamigenic landslides inside the Sciara del Fuoco with volume between 14x10⁶ m³ and 30x10⁶ m³,By considering the possible deep submarine tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between 700 and 300 m BSL) what percentage (%) of them will involve a volume between 14x10⁶ m³ and 30x10⁶ m³?,%,uni,0,100, ,target,20,23,100.0,16,
50,23,Deep submarine tsunamigenic landslides inside the Sciara del Fuoco with volume above 30x10⁶ m³,By considering the possible deep submarine tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between 700 and 300 m BSL) what percentage (%) of them will involve a volume above 30x10⁶ m³?,%,uni,0,100, ,target,20,23,100.0,16,
51,24,Shallow submarine tsunamigenic landslides inside the Sciara del Fuoco with volume between 1x10⁶ m³ and 5x10⁶ m³,By considering the possible shallow submarine tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between 300 m BSL and sea level) what percentage (%) of them will involve a volume between 1x10⁶ m³ and 5x10⁶ m³?,%,uni,0,100, ,target,24,27,100.0,17,FigureQuestB24.png
52,25,Shallow submarine tsunamigenic landslides inside the Sciara del Fuoco with volume between 5x10⁶ m³ and 14x10⁶ m³,By considering the possible shallow submarine tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between 300 m BSL and sea level) what percentage (%) of them will involve a volume between 5x10⁶ m³ and 14x10⁶ m³?,%,uni,0,100, ,target,24,27,100.0,17,
53,26,Shallow submarine tsunamigenic landslides inside the Sciara del Fuoco with volume between 14x10⁶ m³ and 30x10⁶ m³,By considering the possible shallow submarine tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between 300 m BSL and sea level) what percentage (%) of them will involve a volume between 14x10⁶ m³ and 30x10⁶ m³?,%,uni,0,100, ,target,24,27,100.0,17,
54,27,Shallow submarine tsunamigenic landslides inside the Sciara del Fuoco with volume above 30x10⁶ m³,By considering the possible shallow submarine tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between 300 m BSL and sea level) what percentage (%) of them will involve a volume above 30x10⁶ m³?,%,uni,0,100, ,target,24,27,100.0,17,
55,28,Lower subaerial tsunamigenic landslides inside the Sciara del Fuoco with volume between 1x10⁶ m³ and 5x10⁶ m³,By considering the possible lower subaerial tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between sea level and 300 m ASL) what percentage (%) of them will involve a volume between 1x10⁶ m³ and 5x10⁶ m³?,%,uni,0,100, ,target,28,31,100.0,18,FigureQuestB28.png
56,29,Lower subaerial tsunamigenic landslides inside the Sciara del Fuoco with volume between 5x10⁶ m³ and 14x10⁶ m³,By considering the possible lower subaerial tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between sea level and 300 m ASL) what percentage (%) of them will involve a volume between 5x10⁶ m³ and 14x10⁶ m³?,%,uni,0,100, ,target,28,31,100.0,18,
57,30,Lower subaerial tsunamigenic landslides inside the Sciara del Fuoco with volume between 14x10⁶ m³ and 30x10⁶ m³,By considering the possible lower subaerial tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between sea level and 300 m ASL) what percentage (%) of them will involve a volume between 14x10⁶ m³ and 30x10⁶ m³?,%,uni,0,100, ,target,28,31,100.0,18,
58,31,Lower subaerial tsunamigenic landslides inside the Sciara del Fuoco with volume above 30x10⁶ m³,By considering the possible lower subaerial tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between sea level and 300 m ASL) what percentage (%) of them will involve a volume above 30x10⁶ m³?,%,uni,0,100, ,target,28,31,100.0,18,
59,32,Upper subaerial tsunamigenic landslides inside the Sciara del Fuoco with volume between 1x10⁶ m³ and 5x10⁶ m³,By considering the possible upper subaerial tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between sea level and 300 m ASL) what percentage (%) of them will involve a volume between 1x10⁶ m³ and 5x10⁶ m³?,%,uni,0,100, ,target,32,35,100.0,19,FigureQuestB32.png
60,33,Upper subaerial tsunamigenic landslides inside the Sciara del Fuoco with volume between 5x10⁶ m³ and 14x10⁶ m³,By considering the possible upper subaerial tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between sea level and 300 m ASL) what percentage (%) of them will involve a volume between 1x10⁶ m³ and 5x10⁶ m³?,%,uni,0,100, ,target,32,35,100.0,19,
61,34,Upper subaerial tsunamigenic landslides inside the Sciara del Fuoco with volume between 14x10⁶ m³ and 30x10⁶ m³,By considering the possible upper subaerial tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between sea level and 300 m ASL) what percentage (%) of them will involve a volume between 1x10⁶ m³ and 5x10⁶ m³?,%,uni,0,100, ,target,32,35,100.0,19,
62,35,Upper subaerial tsunamigenic landslides inside the Sciara del Fuoco with volume above 30x10⁶ m³,By considering the possible upper subaerial tsunamigenic landslides with a volume greater than 1x10⁶ m³ that could occur inside the Sciara del Fuoco in the next 50 years (center of mass between sea level and 300 m ASL) what percentage (%) of them will involve a volume above 30x10⁶ m³?,%,uni,0,100, ,target,32,35,100.0,19,
